artikelnr;karpi_code;omschrijving
334130004;ASTO13XX120RND;ASTOR Kleur 13 CA: 120 ROND
334130002;ASTO13XX160230;ASTOR Kleur 13 CA: 160x230 cm
334130006;ASTO13XX160RND;ASTOR Kleur 13 CA: 160 ROND
334130003;ASTO13XX200290;ASTOR Kleur 13 CA: 200x290 cm
334130005;ASTO13XX200RND;ASTOR Kleur 13 CA: 200 ROND
001334002;ASTO21400JUT;ASTOR KLEUR 21 SILVER 400 BREED Medipa: Topas 2 330 95-silver
334219999;ASTO21MAATWERK;
334210000;ASTO21XX080150;ASTOR Kleur 21 CA: 080x150 cm
334210001;ASTO21XX120170;ASTOR Kleur 21 CA: 120x170 cm
334210004;ASTO21XX120RND;ASTOR Kleur 21 CA: 120 ROND
334210002;ASTO21XX160230;ASTOR Kleur 21 CA: 160x230 cm
334210006;ASTO21XX160RND;ASTOR Kleur 21 CA: 160 ROND
334210003;ASTO21XX200290;ASTOR Kleur 21 CA: 200x290 cm
334210005;ASTO21XX200RND;ASTOR Kleur 21 CA: 200 ROND
001334003;ASTO23400JUT;ASTOR KLEUR 23 ANTHRACITE 400 BREED Medipa: Topas 2 330 99 anthracite
334239999;ASTO23MAATWERK;
334230000;ASTO23XX080150;ASTOR Kleur 23 CA: 080x150 cm
334230001;ASTO23XX120170;ASTOR Kleur 23 CA: 120x170 cm
334230004;ASTO23XX120RND;ASTOR Kleur 23 CA: 120 ROND
334230002;ASTO23XX160230;ASTOR Kleur 23 CA: 160x230 cm
334230006;ASTO23XX160RND;ASTOR Kleur 23 CA: 160 ROND
334230003;ASTO23XX200290;ASTOR Kleur 23 CA: 200x290 cm
334230005;ASTO23XX200RND;ASTOR Kleur 23 CA: 200 ROND
602440002;AUBA44XX160230;AUBADE Kleur 44 CA: 160x230 cm
602440001;AUBA44XX200290;AUBADE Kleur 44 CA: 200x290 cm
602520004;AUBA52XX160230;AUBADE Kleur 52 CA: 160x230 cm
602520001;AUBA52XX200290;AUBADE Kleur 52 CA: 200x290 cm
602620009;AUBA62XX160230;AUBADE Kleur 62 CA: 160x230 cm
602620006;AUBA62XX200290;AUBADE Kleur 62 CA: 200x290 cm
526420027;AVAL42XX120170;AVALON Kleur 42 CA: 120x170 cm
526420028;AVAL42XX155230;AVALON Kleur 42 CA: 155x230 cm
526420029;AVAL42XX200290;AVALON Kleur 42 CA: 200x290 cm
526420030;AVAL42XX240330;AVALON Kleur 42 CA: 240x330 cm
526620080;AVAL62XX120170;AVALON Kleur 62 CA: 120x170 cm
526620081;AVAL62XX155230;AVALON Kleur 62 CA: 155x230 cm
526620082;AVAL62XX200290;AVALON Kleur 62 CA: 200x290 cm
526620083;AVAL62XX240330;AVALON Kleur 62 CA: 240x330 cm
302960000;AVIO96FE130190;AVION KLEUR 96 CA:130x190 cm
602990079;BAMB99XX260260;BAMBUU Kleur 99 CA: 260x260 cm
